id,ABBR,name,state_id,market_id
168,Pdch,Paducah,17,112
169,Arcd,Arcadia,18,113
170,Arch,Archie,18,114
171,Chrc,Church Point,18,115
172,BtnR,Baton Rouge,18,115
173,Opls,Opelousas,18,115
174,Krtz,Krotz Springs,18,115
175,Cnvt,Convent,18,116
176,LkCh,Lake Charles,18,117
177,WtLk,Westlake,18,117
178,Mnro,Monroe,18,118
179,Chlm,Chalmette,18,119
180,Mrrr,Marrero,18,119
181,Shrv,Shreveport,18,120
182,Brtr,Braintree,21,121
183,Rver,Revere,21,121
184,SoBs,South Boston,21,121
185,EBst,East Boston,21,121
186,Salm,Salem,21,121
187,Sprn,Springfield,21,122
188,Bltm,Baltimore,20,123
189,Cbay,Curtis Bay,20,123
190,Slsb,Salisbury,20,124
191,Hmpd,Hampden,19,125
192,Brwr,Brewer,19,125
193,Bckp,Bucksport,19,125
194,SoPt,South Portland,19,126
195,AlMI,Alma,22,127
196,ByCt,Bay City,22,128
197,Chby,Cheboygan,22,129
198,Tayl,Taylor,22,130
199,Rmls,Romulus,22,130
200,Novi,Novi,22,130
201,RvRg,River Rouge,22,130
202,Dtrt,Detroit,22,130
203,Owss,Owosso,22,131
204,Npln,Napoleon,22,132
205,Jcks,Jackson,22,132
206,Mshl,Marshall,22,132
207,Frrb,Ferrysburg,22,134
208,Nils,Niles,22,135
209,TvCy,Traverse City,22,136
210,Wrns,Wrenshall,23,138
211,Mnkt,Mankato,23,139
212,Rosv,Roseville,23,141
213,StPl,Saint Paul Park,23,141
214,NwMd,New Madrid,25,144
215,ScCt,Scott City,25,144
216,CpGr,Cape Girardeau,25,144
217,Crth,Carthage,25,146
218,CoMO,Columbia,25,147
219,Jffr,Jefferson City,25,148
220,MtVr,Mount Vernon,25,150
221,Rvsd,Riverside,25,152
222,Spgf,Springfield,25,153
223,StLs,Saint Louis,25,154
224,StCh,Saint Charles,25,154
225,Abdn,Aberdeen,24,155
226,Blox,Biloxi,24,156
227,Glfp,Gulfport,24,156
228,Prvs,Purvis,24,157
229,Clln,Collins,24,157
230,Grvl,Greenville,24,158
231,Mrdn,Meridian,24,159
232,Vckb,Vicksburg,24,161
233,Larl,Laurel,26,162
234,Blln,Billings,26,162
235,Bzmn,Bozeman,26,163
236,Glnd,Glendive,26,164
237,GtFl,Great Falls,26,165
238,HeMT,Helena,26,166
239,Mssl,Missoula,26,167
240,Apex,Apex,33,168
241,Chrl,Charlotte,33,169
242,Grns,Greensboro,33,171
243,Slma,Selma,33,172
244,Wlmn,Wilmington,33,173
245,Mrhd,Moorhead,23,174
246,Frgo,Fargo,34,174
247,Jmst,Jamestown,34,176
248,Mndn,Mandan,34,177
249,Mnot,Minot,34,178
250,CoNE,Columbus,27,179
251,Lncl,Lincoln,27,182
252,Nrfk,Norfolk,27,183
253,NPlt,North Platte,27,184
254,Sdny,Sidney,27,187
255,Nwgn,Newington,29,188
256,Byne,Bayonne,30,189
257,Bgta,Bogota,30,189
258,PrhA,Perth Amboy,30,189
259,PtRd,Port Reading,30,189
260,Crtr,Carteret,30,189
261,Lndn,Linden,30,189
262,Elzb,Elizabeth,30,189
263,Nwrk,Newark,30,189
264,Glst,Gloucester City,30,242
265,TrPt,Tremley Point,30,189
266,Plsb,Paulsboro,30,190
267,Thrf,Thorofare,30,190
268,Trnt,Trenton,30,191
269,Albq,Albuquerque,31,192
270,Cnza,Ciniza,31,195
271,LVgs,Las Vegas,28,196
272,Sprk,Sparks,28,197
273,Albn,Albany,32,198
274,Glmt,Glenmont,32,198
275,Rnsl,Rensselaer,32,198
276,GrIs,Green Island,32,198
277,BgFl,Big Flats,32,199
278,Vstl,Vestal,32,200
279,Bngh,Binghamton,32,200
280,Bffl,Buffalo,32,201
281,Tnwn,Tonawanda,32,201
282,Lwrc,Lawrence,32,202
283,GrNk,Great Neck,32,202
284,LngI,Long Island City,32,202
285,CldS,Cold Spring Harbor,32,202
286,Inwd,Inwood,32,202
287,Ocns,Oceanside,32,202
288,Plnv,Plainview,32,202
289,Rvhd,Riverhead,32,202
290,WtVr,West Mount Vernon,32,204
