ID,TCN,NAME,ABBR,RACK_ID,city_id
2957,D-00-WA-2957,Inland Empire Oilseeds LLC Delivered,I.E.O.Dlvr,310,457
2965,D-00-VA-2965,Holtzman Oil,Holtzman,299,1302
3065,T-34-OH-3175,Air BP,Air BP,212,314
3072,T-76-TX-2822,Transmontaigne,TPSI,287,423
3077,T-50-VA-0001,PAPCO,PAPCO,300,443
3086,T-72-LA-2390,NuStar,NuStar,119,1303
3091,T-74-TX-2755,Transmontaigne South,TPSI S,271,401
3103,T-59-MS-0001,Scott Petroleum Corporation,Scott Pet,158,230
3118,D-00-MN-3118,Private Terminal,PVT TERM,141,1304
3128,D-00-NS-3128,Valero Energy - Canada,Valero CA,341,771
3137,T-CA-000058,Suncor - Canada,Suncor CA,593,1071
3146,D-00-CT-3146,Depot Place Terminal INC,DepotPlce,33,1305
3335,T-61-KY-3281,Continental Refining Company,Contnl Ref,261,1306
3384,D-00-VA-3384,The Andersons Inc,Andersons,299,1307
3425,T-45-ND-3509,Dakota Prairie Refining,Dakota Ref,177,1308
3430,D-00-IL-3430,Growmark,Growmark,78,1066
3434,T-CA-000004,Husky - Canada,Husky CA,329,1092
3442,T-CA-000053,Valero Energy - Canada,Valero CA,433,1013
3451,T-91-WA-4433,Renewable Energy Group,REG,310,1309
3459,D-00-AL-3459,Blendstar LLC,Blendstar,3,5
3471,D-00-CA-3471,Zone Pricing,Zone,22,1310
3480,T-CA-00-0086,Shell - Canada,Shell CA,345,1074
3489,T-CA-00-0089,Valero Energy - Canada,Valero CA,433,1311
3499,D-00-FL-3499,Omega Partners lll LLC,Omega,38,69
3522,D-00-CA-3522,ASIG TIMS,ASIG TMS,18,1312
1069,T-68-CA-4606,Chevron,Chevron,19,1313
1073,T-33-CA-4769,Tesoro,Tesoro,22,31
1078,T-33-CA-4771,Chevron,Chevron,22,1314
1084,T-33-CA-4772,Kinder Morgan Energy Partners,KMEP,22,1315
1089,T-95-CA-4809,Equilon Shell,Equilon Sh,22,38
1095,T-33-CA-4752,Phillips 66 Company PSX,PSX,22,39
1099,T-68-CA-4612,Buckeye,Buckeye,23,41
1105,T-68-CA-4624,Phillips 66 Company PSX,PSX,23,42
1110,T-33-CA-4777,Equilon Shell,Equilon Sh,24,43
1116,T-68-CA-4603,Valero Refining and Marketing,Valero,25,1316
1122,T-68-CA-4617,Phillips 66 Company PSX,PSX,25,44
1127,T-77-CA-4653,Shell Oil Products US,SOPUS,26,49
1131,T-68-CA-4628,Shell Oil Products US,SOPUS,27,51
1137,T-84-CO-4101,Suncor East,Suncor E,28,54
1141,T-84-CO-4103,NuStar,NuStar,28,54
1149,T-06-CT-1250,Champion,Champion,32,60
1152,T-06-CT-1259,Buckeye,Buckeye,33,63
1160,T-06-CT-1262,Gulf Oil,Gulf Oil,34,65
1165,T-06-CT-1255,Buckeye,Buckeye,35,1317
1170,T-51-DE-1600,PBF Holding Company LLC,PBF,37,1318
1176,T-59-FL-2106,Marathon Petroleum Corporation,Marathon,38,69
1186,T-65-FL-2154,Motiva Enterprise East,Motiva E,39,71
1190,T-65-FL-2164,Motiva Enterprise South,Motiva S,39,70
1195,T-59-FL-2129,Kinder Morgan Energy Partners,KMEP,41,1319
1203,T-59-FL-2127,Stratus,Stratus,44,77
1208,T-59-FL-2133,Citgo,Citgo,45,78
1517,T-41-MN-3412,Magellan Pipeline Company,Magellan,137,1320
1707,D-00-NY-1707,Mistic,Mistic,202,577
2401,D-00-IA-2401,Golden Grain Energy LLC,GoldGrain,57,1059
