MARKET_ID,NAME,PADD,MARKET,STATE_ID
291,Three Rivers,3,"Three Rivers, TX",43
292,Tyler,3,"Tyler, TX",43
293,Victoria/Placedo,3,"Victoria/Placedo, TX",43
294,Waco,3,"Waco, TX",43
295,Waskom,3,"Waskom, TX",43
296,Wichita Falls,3,"Wichita Falls, TX",43
297,Roosevelt,4,"Roosevelt, UT",44
298,Salt Lake City,4,"Salt Lake City, UT",44
299,Fairfax,1,"Fairfax, VA",46
300,Norfolk,1,"Norfolk, VA",46
301,Richmond,1,"Richmond, VA",46
302,Roanoke,1,"Roanoke, VA",46
303,Burlington,1,"Burlington, VT",45
304,Rutland,1,"Rutland, VT",45
305,Anacortes,5,"Anacortes, WA",47
306,Moses Lake,5,"Moses Lake, WA",47
307,Pasco,5,"Pasco, WA",47
308,Seattle,5,"Seattle, WA",47
309,Spokane,5,"Spokane, WA",47
310,Tacoma,5,"Tacoma, WA",47
311,Wilma,5,"Wilma, WA",47
312,Chippewa Falls,2,"Chippewa Falls, WI",49
313,Green Bay,2,"Green Bay, WI",49
314,Junction City,2,"Junction City, WI",49
315,Madison,2,"Madison, WI",49
316,Milwaukee,2,"Milwaukee, WI",49
317,Superior,2,"Superior, WI",49
318,Waupun,2,"Waupun, WI",49
319,Wausau,2,"Wausau, WI",49
320,Charleston,1,"Charleston, WV",48
321,Casper,4,"Casper, WY",50
322,Cheyenne,4,"Cheyenne, WY",50
323,Newcastle,4,"Newcastle, WY",50
324,Rock Springs,4,"Rock Springs, WY",50
325,Sheridan,4,"Sheridan, WY",50
326,Sinclair,4,"Sinclair, WY",50
327,Calgary,4,"Calgary, AB",60
329,Edmonton,4,"Edmonton, AB",60
331,Kamloops,5,"Kamloops, BC",61
333,Vancouver,5,"Vancouver, BC",61
335,Victoria,5,"Victoria, BC",61
337,Winnipeg,2,"Winnipeg, MB",62
339,Saint John,1,"Saint John, NB",63
341,Halifax,1,"Halifax, NS",65
343,London,1,"London, ON",66
345,Ottawa,1,"Ottawa, ON",66
347,Sarnia,1,"Sarnia, ON",66
349,Thunder Bay,1,"Thunder Bay, ON",66
351,Toronto,1,"Toronto, ON",66
353,Montreal,1,"Montreal, QC",68
355,Quebec,1,"Quebec, QC",68
359,Regina,4,"Regina, SK",69
361,Demopolis,3,"Demopolis, AL",1
362,Opelika,3,"Opelika, AL",1
363,Alma,1,"Alma, GA",10
364,Milner,1,"Milner, GA",10
365,Cantril,2,"Cantril, IA",15
367,New Hampton,2,"New Hampton, IA",15
368,Ogden,2,"Ogden, IA",15
369,Sanborn,2,"Sanborn, IA",15
370,Whiting,2,"Whiting, IA",15
371,Farmington,2,"Farmington, IL",13
372,Morris,2,"Morris, IL",13
373,Tampico,2,"Tampico, IL",13
374,Griffith,2,"Griffith, IN",14
375,Clay Center,2,"Clay Center, KS",16
376,Conway,2,"Conway, KS",16
377,LeCompton,2,"LeCompton, KS",16
378,Paola,2,"Paola, KS",16
379,Benson,2,"Benson, MN",23
380,Dexter,2,"Dexter, MO",25
381,Kearney,2,"Kearney, MO",25
382,Moberly,2,"Moberly, MO",25
383,Hattiesburg,3,"Hattiesburg, MS",24
384,Carrington,2,"Carrington, ND",34
385,Greenwood,2,"Greenwood, NE",27
386,Plattsmouth,2,"Plattsmouth, NE",27
387,Oneonta,1,"Oneonta, NY",32
388,Selkirk,1,"Selkirk, NY",32
